Accident_Index,Accident_Severity,Speed_limit,Junction_Detail,Junction_Control,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Vehicle_Manoeuvre
200501BS70652,Slight,30.0,T or staggered junction,Give way or uncontrolled,Fine + high winds,Wet or damp,Other object on road,Turning right
200501BS70652,Slight,30.0,T or staggered junction,Give way or uncontrolled,Fine + high winds,Wet or damp,Other object on road,Going ahead other
200501BS70653,Slight,30.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Dry,Other object on road,Going ahead other
200501CP00220,Slight,30.0,Crossroads,Auto traffic signal,Fine no high winds,Dry,Pedestrian in carriageway - not injured,Going ahead other
200501CP00220,Slight,30.0,Crossroads,Auto traffic signal,Fine no high winds,Dry,Pedestrian in carriageway - not injured,Turning left
200501CW10234,Slight,30.0,Crossroads,Auto traffic signal,Fine no high winds,Dry,Other object on road,Going ahead other
200501CW10370,Slight,30.0,T or staggered junction,Auto traffic signal,Fine no high winds,Dry,Vehicle load on road,Moving off
200501CW10640,Serious,30.0,Crossroads,Give way or uncontrolled,Fine no high winds,Dry,Other object on road,Slowing or stopping
200501CW11165,Slight,30.0,Crossroads,Auto traffic signal,Fine no high winds,Dry,Previous accident,Going ahead other
200501CW11165,Slight,30.0,Crossroads,Auto traffic signal,Fine no high winds,Dry,Previous accident,Turning right
200501CW11481,Slight,30.0,Crossroads,Auto traffic signal,Fine no high winds,Dry,Previous accident,Going ahead other
200501CW11777,Slight,30.0,Other junction,Auto traffic signal,Fine no high winds,Dry,Other object on road,Going ahead other
200501FH10149,Slight,30.0,Roundabout,Authorised person,Fine no high winds,Dry,Vehicle load on road,Going ahead other
200501GD10337,Serious,30.0,T or staggered junction,Give way or uncontrolled,Fine no high winds,Dry,Any animal in carriageway (except ridden horse),Going ahead other
200501GD10406,Slight,30.0,T or staggered junction,Give way or uncontrolled,Raining no high winds,Wet or damp,Other object on road,Overtaking moving vehicle - offside
200501GD10496,Slight,30.0,Crossroads,Auto traffic signal,Fine no high winds,Dry,Other object on road,Overtaking moving vehicle - offside
200501GD10496,Slight,30.0,Crossroads,Auto traffic signal,Fine no high winds,Dry,Other object on road,Going ahead other
200501GD10947,Slight,30.0,Crossroads,Auto traffic signal,Fine no high winds,Dry,Previous accident,Going ahead other
200501HT20399,Slight,30.0,Other junction,Give way or uncontrolled,Fine no high winds,Dry,Other object on road,Going ahead other
